"","item","itemLabel","date","coord","latitude","longitude"
"1","http://www.wikidata.org/entity/Q98931743","Battle of Metaxades",NA,NA,NA,NA
"2","http://www.wikidata.org/entity/Q29468626","Q29468626",NA,NA,NA,NA
"3","http://www.wikidata.org/entity/Q18572820","Q18572820",1944-07-24,NA,NA,NA
"4","http://www.wikidata.org/entity/Q15991321","Battle of Karoutes",1944-08-05,NA,NA,NA
"5","http://www.wikidata.org/entity/Q1772340","Battle of Elaia–Kalamas",NA,"Point(20.1422 39.5867)",39.5867,20.1422
"6","http://www.wikidata.org/entity/Q18121569","Battle of Agios Vasileios",1949-01-22,"Point(22.689172222 37.187097222)",37.187097222222,22.689172222222
"7","http://www.wikidata.org/entity/Q12880416","Battle of Chora - Agorelitsa",1944-07-19,"Point(21.705991 37.054952)",37.054952,21.705991
"8","http://www.wikidata.org/entity/Q20552658","Battle of Florina",NA,"Point(21.408888888 40.782777777)",40.782777777778,21.408888888889
"9","http://www.wikidata.org/entity/Q716722","Battle of Pindus",NA,"Point(20.9253 40.0889)",40.0889,20.9253
"10","http://www.wikidata.org/entity/Q15896585","Battle of Kilkis",1944-11-04,"Point(22.866667 40.983333)",40.983333,22.866667
